No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Separation,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
45,WISEA J220012.42-595336.6,22h00m12.4221s,-59d53m36.642s,330.0517591,-59.8935117,G,29015.712839988,0.096786,PUN,13.0634968039324,1,0,28,5,1,2,0,0,1,0
46,WISEA J220133.47-600941.7,22h01m33.4755s,-60d09m41.725s,330.3894814,-60.1615904,G,21398.885859582,0.071379,PUN,13.096777261952,2,0,31,6,1,2,0,0,1,0
47,WISEA J220329.71-595122.4,22h03m29.7180s,-59d51m22.488s,330.8738253,-59.8562467,G,31182.013141496,0.104012,PUN,13.2483203007069,1,0,28,5,1,2,0,0,1,0
48,WISEA J220007.56-595719.3,22h00m07.5688s,-59d57m19.351s,330.0315369,-59.9553753,G,33498.80925692,0.11174,PUN,13.2631858634686,2,0,28,5,1,2,0,0,1,0
49,WISEA J220114.70-600926.3,22h01m14.7074s,-60d09m26.330s,330.311281,-60.157314,G,27098.540071078,0.090391,PUN,13.496564600768,1,0,28,5,1,2,0,0,1,0
50,WISEA J220155.35-601102.9,22h01m55.3598s,-60d11m02.936s,330.4806661,-60.1841491,G,28092.951654264,0.093708,SUN,14.2129473184574,4,0,31,7,2,2,0,0,1,0
51,WISEA J220056.37-600926.5,22h00m56.3721s,-60d09m26.580s,330.2348839,-60.1573835,G,30256.853616108,0.100926,SUN,14.4784496629171,3,0,24,5,1,0,0,0,0,0
52,2MASX J22004627-5945002,22h00m46.2132s,-59d45m00.702s,330.192555,-59.750195,G,36002.975658594,0.120093,PUN,14.5306768836942,2,0,19,4,1,2,0,0,1,0
53,WISEA J220234.75-594250.4,22h02m34.7536s,-59d42m50.463s,330.6448069,-59.7140177,G,26318.480095362,0.087789,PUN,14.9280274280776,1,0,28,5,1,2,0,0,1,0
54,2MASSCL J2202-6011,22h02m18.9600s,-60d11m42.000s,330.579,-60.195,GClstr,29079.868426,0.097,UUN,15.198844967072,1,0,0,1,1,0,0,0,0,0
55,WISEA J220101.88-594251.1,22h01m01.8895s,-59d42m51.131s,330.2578731,-59.7142032,G,32659.090582062,0.108939,PUN,15.4130950680828,3,1,28,5,1,2,0,0,1,0
56,WISEA J220346.64-600324.1,22h03m46.6466s,-60d03m24.183s,330.9443612,-60.0567177,G,28408.633112538,0.094761,PUN,15.5978243508389,2,0,28,5,1,2,0,0,1,0
57,WISEA J220219.09-601210.1,22h02m19.0927s,-60d12m10.154s,330.5795532,-60.2028208,G,15876.109198306,0.052957,SUN,15.6612975278289,5,0,37,8,2,2,0,0,2,0
58,WISEA J220104.40-601123.2,22h01m04.4050s,-60d11m23.257s,330.2683544,-60.1897936,G,33790.807111012,0.112714,PUN,15.7834249761066,1,0,31,5,1,2,0,0,1,0
59,WISEA J220349.43-595013.2,22h03m49.4301s,-59d50m13.239s,330.9559588,-59.837011,G,27274.818036382,0.090979,PUN,15.9795092010318,2,0,32,6,1,2,0,0,1,0
